Date,AAPL,ADBE,ADI,ADP,ADSK,ALGN,AMAT,AMD,AMGN,AMZN,ASML,AVGO,AZN,BIIB,BKNG,BKR,CCEP,CDNS,CDW,COST,CPRT,CSCO,CSGP,CTAS,CTSH,DLTR,DXCM,EA,EXC,FANG,FAST,FTNT,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTU,ISRG,KDP,KLAC,LIN,LRCX,MAR,MCHP,MDLZ,MELI,META,MNST,MRVL,MSFT,MTCH,MU,NFLX,NVDA,ODFL,ON,ORLY,PANW,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SMCI,SNPS,TXN,VRSK,VRTX,WBD,WDAY,XEL
2014-12-31,1.5137441040744497,0.8220701131361722,0.5648704405270926,1.3203659929658118,0.705711918937478,-0.10261961185394682,1.38510804012399,-0.7720700722222279,1.3259064663432472,-0.8140939347749203,0.6545145087137971,1.898228650249078,0.8968793252397727,0.7662586485300795,-0.10187744958260736,0.31259763355554093,0.09484369279251219,1.154426328086213,1.5898933889769875,1.74967031300817,0.009734882178573651,1.306704906407407,0.07723490904531706,1.599635245670411,0.23595827435645433,1.256917274752075,1.1647570518461081,2.090641772374084,1.8344680249167533,0.6012486120824613,0.20090292672447868,1.7207086743314934,1.133703661900761,-0.4826128608969354,-0.4478502342068754,0.6618528478193683,1.4366598213538604,1.3654793757858321,0.8535700635051956,1.0113281254983357,2.8093790086967863,1.3479031897018123,-0.0473803975110346,1.6306111420153222,2.4265685781621658,0.09108741282001162,0.3464503273658111,0.6958552426712046,1.018893942882923,1.6118439375296174,0.22426190866478457,1.5020620431092764,-0.48977510052979023,1.20583239761457,0.14722072972902114,0.885600594630958,1.7039042616969675,0.7579631560161783,1.7401084510762508,1.997118515880985,0.5128371770140562,0.7719888318389568,1.102651439669547,0.18145231687174274,1.1670215828028048,1.3726875055677703,0.3173971736306873,-0.5675508231188656,1.5436852097501514,0.33942658181398006,1.1447533851867557,-0.003709732305234053,1.0578848781567456,-1.032337493407298,-0.05879506971623003,2.199475307743045
2015-01-07,1.6058558051619292,0.7353375230444649,0.5795887135397076,1.5184068274057407,0.47060687748195346,0.267084000284938,1.339089476330161,-0.8116694820485413,1.3400997125870513,-0.8161650415342042,0.6816869361905399,1.947413414701004,0.8143144915148197,0.68013335866306,-0.21922735870241936,0.3120684501827923,0.049285560307888845,1.2438239714351689,1.731942540274481,1.6775025240606323,0.004690119112183236,1.4682778611504634,0.12244826002885664,1.679628024154851,0.43536756641517216,1.3536419967678255,1.2844440653805111,2.2110890061958255,1.885597326667573,0.8083223740298614,-0.02799370896406923,1.6543754689140264,1.0196406037083179,-0.5804182241389952,-0.5364662091052861,0.8211450744613877,1.577459234128542,1.1610861367097491,0.8164630554499545,0.7483595614324611,2.9964942680596915,1.212245479191659,-0.09269665284775383,1.455108022606435,2.5206067605618934,0.05123609845852811,0.35053686687180713,0.6935886337980876,1.0415581271552108,1.5711831833494825,0.16412629306495966,1.6964907292810247,-0.43711152529757524,0.8442882370642142,0.14566328983970714,1.0591313923949057,1.444552441416858,0.565658942502582,1.6004397020073835,2.03044429045963,0.9755808609118265,0.7695046235778605,1.442853736356603,0.17731681435325405,1.0042864213211293,1.4698155906114552,0.565162946926161,-0.06406126948381076,1.5964938189253273,0.2733613677464964,1.1646196651182137,0.1179988104219824,0.9944468160239054,-0.9515713692837896,-0.00919273220372252,2.1731022185318873
2015-01-14,1.5254112275135496,0.7536617308829596,0.6256450443521041,1.5670976879052854,0.40276799753192555,-0.2027576641873977,1.3960467435822175,-1.0369535549414848,1.3513548780364308,-0.9559470853752432,0.8973752701067694,1.966655264939544,0.6971823520404524,0.6405001015870858,-0.39744485317962536,0.2226931302584038,0.05588934100277532,1.1356183248931535,1.5835735771267427,1.668615332253172,-0.04206001076112644,1.3653067839500552,0.16897731104763414,1.6898912440194929,0.6026973755280268,1.5068896843198436,1.1418208021388028,2.1004125562940894,1.8332054217252167,0.7698532448235806,-0.0034911686010713557,1.5868805168310018,0.9679052708602066,-0.5352429051480799,-0.5180007782156377,0.7326189311381712,1.5344874030722173,0.992032119587313,0.8746928554881166,0.6335443015793869,3.03964152394195,1.4640420084589258,-0.1814562997775726,1.677741763972792,2.2893401962133995,0.16196445118697525,0.5449619406361074,0.5716830104961408,0.9906659369645384,1.6525543001617051,0.4006649283081825,1.6389882058750411,-0.459532504839684,0.8058406802954726,0.3592891317275414,1.0784130496527693,1.3395949409648051,0.5212463178915024,1.5780210225680986,1.9870880987879336,1.0529369641469706,0.6421830549467353,1.4802143387778437,-0.0006164799031596542,1.1432453922978694,1.5088938603141635,0.7344878895769799,-0.18126745816305032,1.6208109704972367,0.16754167103731527,1.198105837213411,-0.01841002261051303,0.9241593572582957,-1.0686747942794987,-0.22007599785762405,2.276896406359562
2015-01-21,1.9769799177239498,0.8704339318457502,0.6787633036321264,2.0255357852574427,0.4979770762213974,0.21937654942661255,1.6257535539067784,-0.28155572876776036,1.3353203670797629,-0.6474987593231216,1.0319525837618222,2.04373584118123,0.7634665762806238,0.6429871672379587,-0.31523286343464874,0.34641004949972226,0.11725179470464589,1.3896884180466162,1.681621066570043,1.7984552054029268,0.4255229274652714,1.4069546475822872,0.4161287456084737,2.097503123943277,0.6711528922196202,2.154232610157499,1.3421030771403608,2.0723289692153313,1.7939988880955193,0.9349081432707839,0.32259757921374305,1.6371748951201488,1.0486918254500237,-0.26482839117875684,-0.2523316353259835,0.8530711909877985,1.69814482819604,1.013638726160063,1.146772990846366,0.7581509303035479,3.2647480452827637,1.1413132365442242,0.07587109481600014,2.096464883488183,2.5749805475247736,0.3228720260380173,0.5205131395107166,0.8449301677151998,1.1772138433493924,1.7237436687121706,0.3346004090514765,1.0557134308388103,-0.3678993188115124,0.811647001896207,0.4593274160248696,1.1142951742332714,1.6848891874399814,0.6707667572251637,1.8470857781562253,2.0211719024704307,1.4395295363487735,0.8444027209534961,1.47297039027107,0.19090884279066717,1.2847333118283397,1.8794940762617218,1.0954755227786341,0.11929299145522974,1.3192782280789388,0.6197851928939144,1.3982484975434022,0.11846668646694555,1.050313932906318,-0.8540365802440762,-0.0021190741924106827,2.4404080330253897
2015-01-28,2.2109028718257546,0.8554066986501063,0.8117447412102534,2.2467644376805627,0.4977706781799326,0.11561687715642026,1.5953339038537686,-0.14303946072002954,1.3292905393087362,0.2925847827804066,1.05220963064599,2.0365916905921346,0.7919065062076635,0.8874635600334511,-0.13160840179644515,0.41397798304573874,0.22206491337983558,1.433391872869755,1.8206863162499611,2.3470084970010334,0.7444450131853744,1.438680198761099,0.5149713739633257,2.2923054101325775,0.6477979349835955,2.5336454119781804,1.2038974651165664,2.1846236978326568,1.5790494324974624,0.8790827991810887,0.42491243803875794,1.6151087706702194,1.0608773133408205,-0.23139181275434265,-0.2055028811892039,0.9217291422212975,1.3854049195154285,0.7741788342840081,1.4859870820163372,0.7581356634663667,3.452236011443235,1.2338246969925295,0.25965416024870147,2.1141445876467366,2.6522757232392764,0.44463677139057256,0.8076734171097961,1.0312552130855763,0.7933363282026057,1.739096529375968,0.5939885592985928,0.9093969661968527,-0.15038504330733046,0.7577491043029773,0.47504480767066637,1.2171891055423079,1.641131450201955,0.8190924695637306,1.8193692802103323,2.023394601250079,1.657786295901215,0.8966803793009633,1.86067535206258,-0.1903524842360737,1.1557394994046366,2.0858174689300073,1.3750561133921329,0.261863040947044,1.4137292954787266,0.8075835900164098,1.6237174607196532,0.39153357994037796,0.8106104088090493,-0.9131685385768937,0.09377122837974175,2.362407449366125
2015-02-04,2.135549642443614,0.6450218441609686,0.7540554532169247,2.401042277601909,0.531206210663192,0.18143412959473554,1.5211063969962357,-0.1358485172258345,1.1613006559594383,0.2535416446441822,0.7248712297165479,1.9558378132146785,0.45880210245614655,0.7894997529296406,-0.3408102496692809,0.26119848054600475,0.012339472467244223,0.9397090781244638,1.9997332277805024,2.112657994352154,0.5744575803853217,1.312167767888726,0.4658016804623916,2.0965032098774623,0.8418940546076804,2.4715787556038027,1.179926385551366,2.0756063129776816,1.1538488042890376,0.5916651605289857,-0.04085725124271846,1.66050941733199,0.7536764363192016,-0.3861438320012147,-0.3680890789496628,0.7270969536657749,1.088002402312252,0.6441594950262219,1.264916232692941,0.6030962181903167,3.3552555215216486,1.068456238690186,0.019541465885047175,2.0438480794156124,2.529855771262798,0.6088442803830455,0.5720638791754727,0.9207557487858594,0.6676910729093576,1.5805120296279358,0.5889693031337119,0.916111907605041,-0.22733729683279724,0.7568465240618344,0.33238697382193627,1.2131443793117502,1.7635695385640098,0.9009884098817127,1.7613675025534656,1.8597920734285813,1.7585410411394233,0.5946676000154056,1.7926944551727142,-0.15728920925174578,0.7702404959203546,1.894128449518236,1.2835269750392344,0.3340591345934649,1.4367388310186067,0.5856538311909671,1.5175758174768768,0.4224246311039783,0.6799805825928783,-0.988933457452809,-0.06717743112777073,1.8711708289958255
2015-02-11,2.22955194918699,0.5996606692813434,0.8676583730289654,2.2886660080645793,0.586191143815554,0.28339646651902184,1.2750032027011406,-0.09012170081730063,1.0877330663425029,0.3388558314842128,0.7584201395047709,2.0389692774038575,0.37517881166591094,0.6759919087823946,-0.38789702464311726,0.36300027365785115,-0.07615889477602904,1.0290088134141044,1.9116966761499343,2.053377038702074,0.7166348129211162,1.665260463306135,0.2508696245395198,2.055352050236547,0.8671146069529367,2.4699308615774003,0.9892060253764113,2.07657609976862,0.7508617389661063,0.6431166090108554,-0.06696108849559967,1.5646261219322488,0.8466889932083396,-0.4178664051224822,-0.40971345596759473,0.8059516016619819,1.0250092013168128,0.5699844053178035,1.2976434766319696,0.5701639153129284,2.966394862223045,1.0278574893496433,0.08777611656974692,2.205250434916729,2.5819923436443992,0.7122741019124863,0.6207410206069119,1.0311925146994843,0.5561620482472183,1.6284206963731425,0.3462222455274228,0.9928625731715818,-0.10135340357492378,0.78237970325816,0.3871267431950463,1.1297586574542302,1.857219633079926,0.8503649736822215,1.6141507694473536,1.853250889277816,1.8266324465313952,0.43969409168545565,2.264005667691438,-0.1178446419278123,0.7397386891671132,2.094427545918106,1.3764241247438695,0.48719488342783246,1.4143023056221589,0.6304140797129257,1.605550707413262,0.3181866932119265,0.8248491829406991,-0.8914140762914126,0.0324266748217434,1.4793939017996234
2015-02-18,2.604878437560463,0.6690650350233269,0.9686337662737281,2.402055342415811,0.6371899470517797,0.3340787809139961,1.4307062130855555,-0.08477349629020975,1.1914505380481792,0.32499810100185217,1.1947085320597786,2.0670289749419215,0.3773278451545371,0.6296898550049499,-0.20939310901811536,0.2226804061431354,0.022586332245751278,1.0789842119634778,2.019766505262068,2.080075215964404,0.45049586476137266,1.8823762781418707,-0.09033145642464517,2.1018711508961596,0.8870442819544244,2.483326969894004,0.9077026343930465,2.1527970567709875,0.9275632879703583,0.5606394334575616,-0.21799349747323538,1.6027515477683634,0.8680808432154674,-0.5137603900827404,-0.5021883822614417,0.855899484516478,1.0536279736390264,0.4544746634153382,1.360824500620741,0.6153530109699601,2.917978108057272,1.1131056098972218,0.18341126867717078,2.255546021128703,2.44340899679169,0.7720470874092501,0.638546985966961,1.1559616214238964,0.5555201291895223,1.7950543815309896,0.4777562624108486,1.0311998760650443,-0.25966384328810765,0.775407224203023,0.33651573123261097,0.934394249373317,2.016063327185417,0.9517442277022237,1.716465055645035,1.8401094492346841,2.078540013066783,0.1726296555899257,2.256583782273473,-0.03290652555258822,0.7937921667964116,2.033942601285398,1.7888009117463388,0.5106439819870043,1.6257591218663918,1.0359068290872664,1.61779321956056,0.35542072043828976,0.8232789588448978,-0.6720500936196185,0.054188183643844715,1.6029170410813363
2015-02-25,2.4197130670076783,0.701993079605984,0.8625653125121233,2.21047080597514,0.7675160189886442,0.2565849660760817,1.3071210949577563,-0.07103269879916577,1.1683551606138938,0.32594426698140233,0.975803098054401,2.144493283135919,0.30150921433054956,0.7147857657383427,-0.18447266490806896,0.1304811790822619,0.09029634431807443,0.9010842783303629,1.7933275075943533,1.9658876899862208,0.274431059247924,1.8700916584879759,-0.05049579946587861,2.0835569497441573,0.8306255453863568,2.4207683787595062,0.7235217403642916,2.0309154997969876,0.6552444391100307,0.4251583179578919,-0.4133635067143136,1.5659719583406146,0.846855510604118,-0.14824936032072653,-0.11542868286692105,0.7951066492091166,1.0415506358930715,0.4190140494391602,1.1806183483091686,0.5130486532722521,3.0095392905117593,0.9704516449111761,0.1051892311856624,2.2647811609360575,2.5457623513218204,0.6786214796356097,0.527985217442517,0.8216515231777913,0.6636849203060428,1.9402914199361847,0.27474257721051143,0.8239892691691039,-0.3935521202910237,0.6021468428720199,0.32748803576148866,0.9673420535679272,1.9118813710751306,1.0033572079822521,1.896242810384289,2.206748963942713,1.745344632898422,0.12996737412492,1.978402844231531,-0.10971715629247093,0.6855220861511367,2.1353753904313084,1.735058698847671,0.6002620162772081,1.5859861944304845,0.8752635379173422,1.4975457552735063,0.8797136448798695,0.9534196396008061,-0.6646980396372353,-0.343650803290421,1.1762953040586108
2015-03-04,2.1821210494214367,0.6074113815165058,0.7078241571735134,1.8506891770134914,0.6093294175538805,0.3014890967635697,1.0536751787700138,-0.28822781581853607,1.084296310454049,0.17071781422337273,0.8368623031152116,2.1339415490669036,0.149842480514261,0.7894915788870224,-0.21845826790281392,0.0927546855878024,-0.23862552004652368,0.7130091598408289,1.64562027889617,2.141311669277866,0.13523003518639967,1.7365831585597862,-0.07187078419163455,1.9370457909584418,0.7112982664989204,2.4857153943387438,0.7588710977745552,1.8491064257901806,0.6127721431370349,0.4317651346389338,-0.6879549635351495,1.5415090657048751,0.8427031206174258,-0.23784500854776594,-0.20595405856978433,0.6466343867583296,0.7959603283302753,0.5556193453279471,0.9999949214645185,0.4837172775453816,2.7717556302886,0.6713577729736959,-0.16225355795135032,1.8413558348365038,2.301595736454671,0.5303723903718941,0.10890474561536352,0.7456295150783815,0.5002208368388721,1.862672183035712,0.31075253338676284,0.7235550290101195,-0.29101428057210854,0.47106497235298994,0.23771829032138045,1.1652061787941324,1.6341757800500272,1.0354645389786785,1.6970380066078528,1.764322185776946,1.6852086588923885,-0.2038823199756409,1.3866769859711205,-0.10973395301724363,0.912938267817767,2.1139636925295484,1.3801694825554829,0.6493240133049021,1.6248223240534887,0.7743970099447941,1.314893129033387,0.5424263762415236,1.0522393699622878,-0.8493431170444469,-0.3498296051737138,1.2297186928401629
